company_name,title,description,link
Ecosia,Principal Engineer – Security (SRE/Platform),"We are looking for a hands-on (Senior to Principal level) Platform Engineer to join our Platform team with expertise in Security, Site Reliability, and Developer Experience. In this high-autonomy role, you’ll work on both big-picture concepts and hands-on tasks daily. For example, from shaping the team’s technical vision & strategy to troubleshooting CORS headers in development environments in an...",https://berlinstartupjobs.com/engineering/principal-engineer-security-sre-platform-ecosia/
Softwaregini,Senior Fullstack Web Engineer (m/f/d),"Join Softwaregini, a fast-growing and well-funded B2B SaaS disruptor revolutionizing how companies select and manage their software portfolios. Tasks As a Fullstack Web Engineer, you’ll work directly with our CTO, David, to develop robust systems and user interfaces driving our business forward. Collaborate closely with our team to understand business requirements and translate them into...",https://berlinstartupjobs.com/engineering/senior-fullstack-web-engineer-m-f-d-softwaregini/
Climatiq,Senior Full Stack Engineer – Climate Tech – Rust & TypeScript,"About Climatiq We are a fast-growing climate tech startup on a mission to drive climate action through data and insight. Our team consists of entrepreneurs, technologists, and scientists who have come from backgrounds such as Google, MIT, and other leading companies and academic institutions. Together, we are building a tech platform that empowers organizations to...",https://berlinstartupjobs.com/companies/climatiq/
MathPlan,Werkstudent*in Software-Developer (w/d/m),"MathPlan ist ein ist ein dynamisches Softwareunternehmen, das auf das automatisierte Ressourcenmanagement an Hochschulen spezialisiert ist. Seit der Gründung als Spin-Off der TU Berlin entwickeln wir innovative Software und definieren den Stand der Technik im Bereich „University Timetabling“. Unsere Software ist an einigen der größten Universitäten, Hochschulen und medizinischen Fakultäten in Deutschland, der Schweiz und...",https://berlinstartupjobs.com/engineering/werkstudentin-software-developer-w-d-m-mathplan-gmbh/
MathPlan,Software Developer (w/d/m),"Software Developer (w/d/m)  MathPlan ist ein ist ein dynamisches Softwareunternehmen, das auf das automatisierte Ressourcenmanagement an Hochschulen spezialisiert ist. Seit der Gründung als Spin-Off der TU Berlin entwickeln wir innovative Software und definieren den Stand der Technik im Bereich „University Timetabling“.   Unsere Software ist an einigen der größten Universitäten, Hochschulen und medizinischen Fakultäten in Deutschland,...",https://berlinstartupjobs.com/engineering/software-developer-w-d-m-mathplan-gmbh/
alcemy,(Senior) Embedded System Engineer/IoT Architect (f/m/d),"Über alcemy alcemy wurde gegründet, um den massiven CO2-Fußabdruck der Zement- und Betonindustrie zu verringern. Beton ist gemessen am Volumen das am zweithäufigsten verwendete Material der Welt und ist für 8% der globalen CO2-Emissionen verantwortlich. Mit alcemy können wir das ändern! Unsere intelligente Produktionssteuerungsoftware ermöglicht es, Beton und Zement mit der Präzision herzustellen, die für die nachhaltigen...",https://berlinstartupjobs.com/engineering/senior-embedded-system-engineer-iot-architect-f-m-d-alcemy/
HeyJobs,Team Lead IT Support & Internal Infrastructure (w/m/d),"At HeyJobs, we have a clear mission: to help everyone find the right job and lead a fulfilling life. For 8 years, we’ve been revolutionizing the recruitment market with our AI-based job platform. Our technology simplifies the path to a new job like never before and helps companies solve their skilled labor shortages. With over...",https://berlinstartupjobs.com/engineering/team-lead-it-support-internal-infrastructure-w-m-d-heyjobs/
DATATRONiQ,(Senior) Developer Fullstack (Typescript / Javascript / Node.js),🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...,https://berlinstartupjobs.com/engineering/senior-developer-fullstack-typescript-javascript-node-js-m-f-d-datatroniq/
DATATRONiQ,Cloud and DevOps Engineer (Kubernetes),🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...,https://berlinstartupjobs.com/engineering/cloud-and-devops-engineer-kubernetes-m-f-d-datatroniq/
DATATRONiQ,(Senior) Backend Developer (Golang),🚀 DATATRONiQ stands out as a pioneering deep-tech 💪 startup for the industrial IoT in Germany. Our platform offers a one-stop solution for companies to monitor and optimize their assets and processes. Our device management and data acquisition technology generate high-quality data for our AI models deployed on edge. We believe in an open and...,https://berlinstartupjobs.com/engineering/senior-backend-developer-golang-m-f-d-datatroniq/
